No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
1,AQP6,4.748819082,6.62E-33,0.9969,0.8668
2,GLB1L3,3.315309415,2.50E-25,0.9824,0.5222
3,TMEM213,4.237521278,2.58E-25,0.9691,0.05875
4,UMOD,4.334542156,2.12E-24,0.992,0.5119
5,SLC4A1,3.476046901,3.67E-24,0.9791,0.2448
6,ATP6V0A4,3.775217802,8.27E-22,0.9799,0.227
7,CLCNKB,3.032935533,2.25E-21,0.9792,0.2733
8,GGT6,2.73558108,1.94E-19,0.9667,0.09665
9,IGLV9-49,-2.780453756,3.27E-19,1.062,0.01592
10,ATP6V0D2,3.048688464,6.86E-19,0.9718,0.1343
11,KLK1,3.953264525,9.66E-19,1.004,0.8436
12,APCDD1L-AS1,-2.123012816,9.53E-18,1.138,0.0000203
13,RHCG,3.619430949,1.81E-17,1.013,0.4031
14,PART1,3.459340351,2.38E-17,0.9997,0.992
15,RP11-417E7.1,-1.660428631,3.21E-17,0,0
16,KIRREL3,-1.733272208,3.62E-17,1.163,0.0006745
17,PVALB,3.44694219,6.51E-17,1.009,0.6316
18,RAB25,2.826307131,6.96E-17,1.013,0.4923
19,CA1,2.336711977,1.34E-16,0.9933,0.8432
20,CILP2,-1.976384095,1.91E-16,1.237,1.53E-11
21,SHOX2,-1.837499225,2.63E-16,1.281,1.13E-11
22,KRT7,2.174688098,2.73E-16,0.9806,0.4963
23,DMRT2,3.350336947,9.37E-16,1.009,0.6031
24,CMA1,1.805408931,1.25E-15,0.8186,0.00000945
25,SLC26A7,2.34084322,3.72E-15,0.9958,0.8478
26,SFTPB,2.809203274,3.87E-15,1.03,0.2654
27,SLC12A3,2.316004114,6.66E-15,0.9658,0.08251
28,AMH,-1.6632622,7.79E-15,1.222,4.87E-07
29,COL7A1,-1.845036762,9.28E-15,1.378,2.37E-18
30,TTR,3.187601571,9.89E-15,1.02,0.4254
31,ALB,2.000142846,1.21E-14,0.9601,0.1285
32,INHBE,-1.872504296,1.44E-14,1.176,5.80E-07
33,ESRP1,2.715889626,1.48E-14,0.9973,0.8892
34,CTSG,1.675894161,2.53E-14,0.9173,0.009184
35,WFDC21P,-1.645565627,5.22E-14,1.166,0.0001585
36,RP5-1198O20.4,-1.381500097,5.28E-14,0,0
37,MFI2,-1.716684909,8.18E-14,1.184,6.28E-09
38,RP11-184M15.1,-1.555535086,1.48E-13,0,0
39,ATP6V1B1,2.074709309,1.49E-13,1.001,0.9716
40,RPL29P19,-1.412697111,2.60E-13,1.392,1.33E-09
41,AL133493.2,-1.51153815,3.64E-13,0,0
42,IL2RA,-1.289583392,4.00E-13,1.148,0.001153
43,ZPLD1,-2.196765851,4.64E-13,1.139,0.0000048
44,CTD-3035K23.7,-1.408947064,5.82E-13,0,0
45,ELAVL2,1.427200233,6.04E-13,0.8379,0.0002312
46,CDCA3,-0.942025934,6.16E-13,1.646,4.36E-15
47,OTX1,-2.060546963,8.72E-13,1.367,1.22E-19
48,HEPACAM2,3.208255065,1.07E-12,0.9776,0.252
49,RP13-895J2.6,2.547675574,1.08E-12,0,0
50,RUFY4,-1.551487137,1.15E-12,1.188,9.41E-07
51,AIM2,-1.276089874,1.44E-12,1.187,0.0000153
52,KNG1,2.594656656,2.37E-12,1.003,0.838
53,FGF9,2.463265481,2.45E-12,0.993,0.7139
54,CCDC91,-1.133984578,2.53E-12,1.216,0.0002832
55,HBG2,1.724298266,2.80E-12,0.9688,0.4565
56,RP11-2B6.2,1.575173532,2.87E-12,0,0
57,PRR15L,1.939389438,3.09E-12,0.9445,0.02404
58,FKBP9P1,-1.663549029,3.30E-12,1.143,0.0006168
59,CTC-573N18.1,-1.691149317,4.05E-12,0,0
60,SPG20-AS1,-0.882914226,4.30E-12,1.383,0.0000212
61,GTSE1,-0.859006377,5.24E-12,1.338,0.00000148
62,SLC6A18,2.377391133,5.25E-12,0.9258,0.0001039
63,MYRIP,1.396134514,6.02E-12,0.8409,0.00000351
64,RP11-1180F24.1,-1.05120085,6.24E-12,0,0
65,SLC30A8,2.133271576,6.79E-12,0.9721,0.3037
66,FOXM1,-0.957603364,8.36E-12,1.337,3.00E-07
67,TCL6,1.921057702,1.07E-11,0.8934,0.00000524
68,CCNB2,-0.816673113,1.07E-11,1.524,4.72E-10
69,FOXI2,2.075901356,1.30E-11,0.9031,0.000177
70,NTSR1,1.520528044,1.38E-11,0.9673,0.3737
71,FAM53A,-0.703204701,1.81E-11,1.398,0.0001508
72,TCEAL2,2.220168047,1.90E-11,0.9705,0.1846
73,KCNJ1,1.799712171,1.95E-11,0.9914,0.6398
74,LINC01232,-0.661629164,2.15E-11,1.376,0.0000952
75,STAC2,2.350554044,2.28E-11,0.9997,0.987
76,RHBG,2.755717392,2.35E-11,1.017,0.3734
77,SEZ6L,1.575056381,2.51E-11,0.9215,0.1083
78,NCAPG,-0.821934497,2.82E-11,1.287,0.0000287
79,SLC12A1,2.14800725,2.87E-11,0.9871,0.3928
80,TMPO-AS1,-0.528986083,2.96E-11,1.748,2.14E-08
81,CEP55,-0.882043003,3.12E-11,1.33,3.57E-07
82,HSD11B2,1.322973045,3.67E-11,0.8984,0.001647
83,GSG2,-0.783261188,3.71E-11,1.329,0.0000268
84,HJURP,-0.956253094,4.21E-11,1.348,1.19E-08
85,DLGAP1-AS2,-0.84623393,4.43E-11,1.702,9.16E-15
86,ACVR2A,0.393839011,5.13E-11,0.7324,0.0001295
87,JSRP1,-1.476163777,5.22E-11,1.236,5.70E-08
88,KIF14,-0.888605693,5.46E-11,1.243,0.0000547
89,CDC20,-0.943600837,5.54E-11,1.454,1.77E-10
90,SLC22A8,2.119389945,5.80E-11,0.9191,0.0000584
91,RP11-95M15.2,-1.688699675,6.67E-11,0,0
92,RGS17,-1.143748396,7.01E-11,1.44,4.78E-12
93,WNK2,1.697598601,9.31E-11,1.042,0.2111
94,TICRR,-0.851270458,9.34E-11,1.378,1.09E-07
95,TACSTD2,1.548040032,1.04E-10,0.9816,0.5309
96,FMO5,0.900612437,1.06E-10,0.8803,0.008129
97,GARNL3,0.535168347,1.06E-10,0.7533,0.0001955
98,F3,-1.355790879,1.11E-10,1.138,0.0008511
99,SVOPL,2.038972953,1.14E-10,0.9862,0.6073
100,NAV3,-1.196203586,1.14E-10,1.227,0.00000637
101,NDC80,-0.655911917,1.16E-10,1.367,0.0000122
102,AC147651.4,-0.802470364,1.28E-10,0,0
103,EPN3,1.776928187,1.30E-10,1.038,0.09678
104,RGS20,-1.386798592,1.44E-10,1.297,6.49E-11
105,WISP3,1.410170881,1.47E-10,1.031,0.4519
106,ANLN,-0.953845595,1.51E-10,1.242,0.0000295
107,MCOLN3,1.624302157,1.55E-10,0.9435,0.06336
108,KIF2C,-0.784326379,1.57E-10,1.518,3.98E-10
109,SHCBP1,-0.763625947,1.57E-10,1.345,0.0000346
110,IGFL2,-1.760148765,1.68E-10,1.173,0.00000149
111,SMIM5,1.423878934,1.81E-10,0.9838,0.5771
112,GFPT2,-1.366842102,1.92E-10,1.306,6.44E-12
113,CENPA,-0.942383123,2.05E-10,1.364,1.05E-08
114,AC096559.1,1.615827095,2.13E-10,0,0
115,CPNE7,-1.467884055,2.26E-10,1.249,1.85E-09
116,MCM10,-0.735310004,2.39E-10,1.169,0.005479
117,KIF23,-0.749103081,2.47E-10,1.61,1.25E-10
118,ASPM,-0.880645515,2.54E-10,1.197,0.000229
119,ADCYAP1,1.348641182,2.83E-10,0.8609,0.0001077
120,EDA,0.657891649,2.84E-10,0.7317,2.42E-07
121,LINC00890,2.418114081,2.87E-10,1.007,0.8036
122,RP4-647J21.1,-0.962675281,2.87E-10,0,0
123,C14orf180,2.014864056,2.98E-10,0.9271,0.002679
124,E2F7,-0.961007889,3.01E-10,1.245,0.0000193
125,KIF4A,-0.765926594,3.04E-10,1.318,0.00000616
126,MYH8,2.607107111,3.13E-10,0.9667,0.08662
127,SLC38A5,-1.712352386,3.16E-10,1.221,3.96E-12
128,RLTPR,-0.997823908,3.41E-10,1.173,0.0007052
129,HAGLR,0.86900982,3.65E-10,0.8638,0.002553
130,IGKV3-11,-1.745399225,3.83E-10,1.077,0.005311
131,MYBL2,-1.029583731,3.99E-10,1.254,4.91E-07
132,LINC00087,0.947089328,4.30E-10,0.8843,0.0223
133,CD7,-0.946906059,4.42E-10,1.21,0.0000395
134,RP11-598F7.4,1.721105363,4.46E-10,0,0
135,SP140,-0.855305291,4.69E-10,1.185,0.001196
136,RP11-715H19.2,1.493629487,4.81E-10,0,0
137,TSPAN7,0.932206748,4.87E-10,0.7614,4.39E-10
138,PLK1,-0.853492686,5.03E-10,1.444,1.39E-10
139,RP4-568C11.4,1.974025066,5.11E-10,0,0
140,CDCA8,-0.726398369,5.14E-10,1.487,1.15E-08
141,APOL2,-0.696415552,5.22E-10,1.328,0.0000763
142,KIF20A,-0.892367386,5.76E-10,1.329,6.59E-08
143,DBH-AS1,-1.006437394,5.88E-10,1.238,0.0000457
144,KRTAP5-8,2.052749631,6.31E-10,0.9946,0.8692
145,RP3-416H24.1,1.629392584,6.53E-10,0,0
146,NFE2L3,-0.682380567,6.72E-10,1.348,0.0000251
147,F8,0.958456374,6.80E-10,0.8298,0.0004206
148,CXCL13,-1.573427813,7.27E-10,1.091,0.0006725
149,PARP12,-0.350106885,7.42E-10,1.618,0.0000806
150,MSC,-1.011647878,7.78E-10,1.205,0.0000289
151,YARS,-0.318398528,8.02E-10,1.7,0.0001271
152,CCNA2,-0.67252387,8.25E-10,1.348,0.00000372
153,FAR2P2,0.917475672,8.55E-10,0.8889,0.004049
154,NUF2,-0.823311058,8.84E-10,1.459,3.45E-09
155,CKAP2L,-0.785211357,9.01E-10,1.199,0.001073
156,COL18A1-AS1,1.18506439,9.22E-10,0.8589,0.0000678
157,RP11-462L8.1,-1.05503331,9.33E-10,0,0
158,CENPF,-0.795980015,9.44E-10,1.297,0.000018
159,WNK3,1.076473239,9.81E-10,0.9546,0.3154
160,MOV10,-0.409659704,1.01E-09,1.799,0.00000116
161,TRBV2,-1.158590481,1.01E-09,1.061,0.1183
162,ALDH1L2,-0.898088124,1.06E-09,1.184,0.002836
163,BUB1,-0.801122458,1.11E-09,1.267,0.0000135
164,KIF15,-0.744642013,1.11E-09,1.328,0.0000459
165,MUC20,1.286086284,1.16E-09,0.8838,0.0008501
166,CD72,-0.818149812,1.30E-09,1.206,0.0002992
167,PRC1,-0.532694198,1.32E-09,1.433,0.0000148
168,UBE2T,-0.63401111,1.32E-09,1.656,2.34E-09
169,COL11A1,-1.688821347,1.43E-09,1.124,0.0000259
170,DLGAP5,-0.827187266,1.48E-09,1.23,0.0001123
171,TROAP,-0.918221387,1.65E-09,1.359,2.61E-09
172,MKI67,-0.789449508,1.65E-09,1.157,0.003454
173,EMR1,-0.913710941,1.75E-09,1.106,0.02707
174,RP11-120K24.3,1.661347827,1.75E-09,0,0
175,F10,-1.358087952,1.86E-09,1.049,0.197
176,CA4,1.312863785,1.91E-09,0.8736,0.00000589
177,PRDM8,-0.949662407,2.01E-09,1.195,0.0007114
178,GPR110,2.018332789,2.02E-09,1.002,0.9277
179,FAM64A,-0.803404236,2.03E-09,1.319,0.00000173
180,HS6ST3,1.744555444,2.04E-09,0.9193,0.002149
181,TOP2A,-0.777838648,2.17E-09,1.209,0.0004671
182,ENPP5,0.774020879,2.18E-09,0.7749,1.70E-08
183,CASP5,-0.886821466,2.20E-09,1.184,0.0007329
184,RP11-425D17.2,-1.756934,2.25E-09,0,0
185,NEB,-1.529018464,2.40E-09,1.097,0.005018
186,CCNA1,-1.688998136,2.48E-09,1.224,1.90E-09
187,SPATA7,0.346171048,2.49E-09,0.6717,0.0000526
188,SERPIND1,1.456498066,2.51E-09,1.116,0.001338
189,GPD1L,0.804738991,2.74E-09,0.8178,0.001782
190,ITPKA,-1.46451394,2.78E-09,1.249,1.51E-12
191,IRF6,1.089094483,2.95E-09,0.841,4.63E-07
192,TENM3,-1.385842055,2.95E-09,1.086,0.01399
193,ASTN2,0.804695305,3.04E-09,0.737,0.00000227
194,SMCO3,-1.261670448,3.28E-09,1.118,0.00332
195,TPX2,-0.797048748,3.44E-09,1.325,7.62E-07
196,TRIM2,0.858996043,3.50E-09,0.8067,0.0000227
197,AURKB,-0.896966101,3.53E-09,1.361,2.28E-09
198,CALB1,1.289441105,3.91E-09,0.9839,0.4359
199,CENPE,-0.750923007,4.10E-09,1.288,0.0000614
200,MPPED2,1.053434698,4.15E-09,0.8682,0.000697
201,TACC3,-0.555592566,4.33E-09,1.627,1.11E-08
202,GPR84,-0.934625562,4.40E-09,1.301,6.96E-08
203,FAM160A1,0.785084433,4.55E-09,0.7769,2.28E-08
204,BIRC5,-0.830996083,4.59E-09,1.325,2.49E-07
205,ERBB4,1.57038353,4.69E-09,0.9849,0.5124
206,OASL,-0.780730833,4.72E-09,1.24,0.000089
207,KIFC1,-0.666484492,4.81E-09,1.326,0.0000238
208,NIPAL4,-1.587701066,4.95E-09,1.229,3.51E-11
209,RFC4,-0.388787264,5.11E-09,1.65,0.00000275
210,RPL22L1,-0.666837692,5.37E-09,1.562,4.54E-10
211,AFM,1.618807934,5.39E-09,0.9028,0.0000481
212,MELK,-0.748995309,5.58E-09,1.23,0.0002897
213,ASB5,2.073770428,5.60E-09,1.02,0.4937
214,NUP210,-0.588260953,5.65E-09,1.244,0.009054
215,PTPRR,0.898750455,5.70E-09,0.8642,0.002019
216,EML6,1.311457942,5.71E-09,0.9562,0.2083
217,ATP5G1P4,-1.003431482,5.93E-09,1.41,1.70E-08
218,RP1-118J21.25,-1.195862299,6.31E-09,0,0
219,WNT9A,-0.916077908,6.35E-09,1.153,0.004722
220,TMEM245,0.476029299,6.56E-09,0.7372,0.00000256
221,TTK,-0.697455764,6.73E-09,1.353,0.00000853
222,GARS,-0.437196681,7.03E-09,1.585,0.0000115
223,HOXD1,0.892502642,7.11E-09,0.8844,0.004665
224,MX2,-0.584555023,8.00E-09,1.553,2.41E-08
225,RAD51AP1,-0.572267914,8.03E-09,1.293,0.001534
226,FANCD2,-0.491250427,8.49E-09,1.479,0.0000441
227,PBX1,0.709545566,8.61E-09,0.8137,0.0000293
228,IFNG,-1.290144832,8.69E-09,1.097,0.004722
229,CDCA5,-0.676816591,8.72E-09,1.349,0.00000877
230,GRHL2,1.880452076,9.18E-09,1.024,0.241
231,IQGAP3,-0.771340623,9.33E-09,1.293,0.00000203
232,MSLN,1.888408366,9.88E-09,0.9754,0.304
233,TMEM81,-0.395437191,1.03E-08,1.912,5.92E-07
234,SKA1,-0.744955918,1.03E-08,1.368,2.40E-07
235,BLM,-0.558897822,1.07E-08,1.373,0.000063
236,TRAFD1,-0.311645497,1.09E-08,1.245,0.04605
237,TRIM50,1.676995928,1.13E-08,0.999,0.9745
238,EME1,-0.679068482,1.21E-08,1.455,7.26E-09
239,TOX3,1.423522205,1.22E-08,0.9146,0.0000688
240,EZH2,-0.485592986,1.26E-08,1.34,0.00011
241,SLC17A9,-1.046657927,1.29E-08,1.266,1.40E-08
242,NCAPH,-0.657756373,1.30E-08,1.34,0.00000705
243,RP11-643A5.3,1.739350023,1.30E-08,0,0
244,IBA57,0.40473474,1.30E-08,0.6746,0.0000013
245,CALCR,1.327471921,1.32E-08,0.9378,0.05039
246,METTL24,0.788673269,1.32E-08,0.7985,2.28E-09
247,RP11-626E13.1,1.111267605,1.33E-08,0,0
248,SLCO5A1,-0.929389781,1.35E-08,1.204,0.0001136
249,STAT2,-0.433440376,1.36E-08,1.654,2.01E-07
250,PRKCE,0.475199894,1.43E-08,0.7234,2.82E-07
251,DIRAS1,1.419039014,1.43E-08,1.032,0.261
252,UNC13C,1.548643996,1.64E-08,0.9839,0.5882
253,RP11-164P12.4,0.769996367,1.64E-08,0,0
254,CDC45,-0.675705461,1.64E-08,1.25,0.0001531
255,NR3C2,0.823386895,1.66E-08,0.8083,2.94E-07
256,NOD2,-0.765284719,1.66E-08,1.21,0.0001477
257,RP11-49I11.1,-0.976450414,1.75E-08,0,0
258,KBTBD12,1.726080381,1.78E-08,0.9932,0.8114
259,SKA3,-0.629427011,1.86E-08,1.29,0.0000935
260,MTURN,0.630985528,1.86E-08,0.8772,0.006986
261,RHBDF2,-0.431621823,1.89E-08,1.296,0.001537
262,CCSER1,0.884313382,2.05E-08,0.8553,0.0000558
263,TMEM132A,-0.723223998,2.07E-08,1.508,8.93E-10
264,FAM172A,0.408214869,2.09E-08,0.7505,0.0000603
265,MYBL1,-0.671771928,2.15E-08,1.244,0.0006641
266,AL589743.1,-1.129444606,2.15E-08,0,0
267,LINC00525,-1.129153743,2.16E-08,1.184,0.0003436
268,FKBP11,-0.65846168,2.18E-08,1.522,9.22E-10
269,IGF2BP3,-1.57540317,2.22E-08,1.173,2.61E-09
270,PGPEP1L,1.624178345,2.23E-08,0.9951,0.908
271,RNF152,0.752129778,2.27E-08,0.7624,1.23E-08
272,PIM2,-0.744433635,2.29E-08,1.295,0.0000797
